company_name,high,low,last_price,prev_close,change,percent_gain
Welspun Corp,524.80,490.10,524.75,487.85,36.9,7.56
Swan Energy,463.80,430.50,449.70,422.40,27.3,6.46
Quess Corp,499.00,476.00,493.00,464.80,28.2,6.07
Global Health,958.00,925.00,956.00,902.80,53.2,5.89
Engineers India,145.75,138.60,144.55,137.70,6.85,4.97
BSE Limited,"2,168.50","2,100.00","2,108.30","2,010.75",97.55,4.85
Asahi India,583.50,570.00,580.65,558.60,22.05,3.95
IFB Industries,960.00,922.00,955.90,921.70,34.2,3.71
MMTC Ltd,54.25,51.95,53.55,51.70,1.85,3.58
KFin Tech,530.35,514.30,529.00,511.05,17.95,3.51
Hind Copper,150.80,148.10,150.00,145.05,4.95,3.41
Shyam Metalics,475.00,465.30,471.50,456.30,15.2,3.33
CDSL,"1,840.00","1,809.00","1,833.80","1,777.05",56.75,3.19
Data Patterns,"1,896.05","1,860.00","1,891.00","1,832.60",58.4,3.19
Sterling Wilson,287.40,276.40,287.00,278.60,8.4,3.02
Power Finance,296.50,289.50,296.35,287.70,8.65,3.01
Greenpanel Ind,333.00,322.00,332.20,322.85,9.35,2.9
Amber Enterpris,"3,160.85","3,129.95","3,138.20","3,051.65",86.55,2.84
MOTHERSON,91.00,89.85,90.90,88.40,2.5,2.83
New India Assur,144.25,139.35,141.95,138.05,3.9,2.83
Biocon,236.00,230.00,233.75,227.40,6.35,2.79
NMDC Steel,41.50,41.00,41.50,40.40,1.1,2.72
AAVAS Financier,"1,519.90","1,495.00","1,508.80","1,468.95",39.85,2.71
eClerx Services,"2,238.00","2,160.20","2,210.00","2,151.90",58.1,2.7
PNC Infratech,325.90,320.00,324.50,316.05,8.45,2.67
Mahindra Life,521.95,511.05,520.00,506.70,13.3,2.62
MCX India,"2,704.80","2,626.00","2,672.05","2,603.90",68.15,2.62
Piramal Pharma,121.35,119.30,121.20,118.10,3.1,2.62
Coal India,336.70,328.25,331.65,323.40,8.25,2.55
CenturyPlyboard,665.00,646.80,652.00,635.95,16.05,2.52
GE Shipping,780.00,764.00,776.75,757.65,19.1,2.52
CAMS,"2,495.00","2,463.15","2,486.00","2,425.40",60.6,2.5
Lemon Tree,116.65,115.50,115.90,113.10,2.8,2.48
Natco Pharma,787.00,775.35,785.40,766.55,18.85,2.46
NCC,157.40,155.00,157.10,153.35,3.75,2.45
